Zipcode,Population,Median Age,Household Income,Per Capita Income
34654,21717.0,45.0,46068.0,23763.0
34655,38566.0,47.6,55533.0,30761.0
34667,32159.0,56.3,36685.0,21899.0
34668,44051.0,46.6,32662.0,18091.0
34669,11940.0,46.5,41932.0,20368.0
34677,21136.0,43.6,58761.0,35325.0
34681,1186.0,50.2,71544.0,36513.0
34683,31688.0,47.6,60441.0,33780.0
34684,27849.0,54.0,45284.0,31000.0
34685,18429.0,47.2,77059.0,40543.0
34688,7510.0,51.1,77160.0,45876.0
34689,26589.0,52.3,43412.0,29684.0
34690,12697.0,44.8,31812.0,16902.0
34691,19261.0,44.6,37017.0,19405.0
34695,17679.0,48.8,57857.0,34651.0
34698,38185.0,52.9,46463.0,30285.0
34705,2560.0,45.9,47500.0,22310.0
34711,55510.0,41.4,59958.0,26473.0
34714,17776.0,36.5,54127.0,21855.0
34715,16071.0,37.9,54976.0,22760.0
34731,10490.0,47.0,39714.0,23822.0
34734,4712.0,39.3,53763.0,25642.0
34736,15161.0,38.6,47591.0,18272.0
34737,2430.0,51.9,64954.0,33076.0
34739,385.0,56.9,34583.0,27140.0
34741,44926.0,32.4,34119.0,17170.0
34743,39499.0,36.4,40005.0,15325.0
34744,46941.0,35.6,45703.0,19108.0
34746,39984.0,35.9,47954.0,19246.0
34747,15940.0,36.3,62240.0,33616.0
34748,39256.0,61.4,41026.0,23846.0
34753,5759.0,34.5,41154.0,14102.0
34756,3548.0,41.3,67552.0,33638.0
34758,37021.0,34.9,39356.0,14447.0
34759,33320.0,37.8,41920.0,16695.0
34760,801.0,48.0,52143.0,28672.0
34761,41895.0,35.7,56855.0,25379.0
34762,406.0,49.4,52622.0,24713.0
34769,21314.0,42.0,41886.0,21060.0
34771,13047.0,41.5,58917.0,26357.0
34772,27889.0,36.4,61674.0,22923.0
34773,3509.0,36.7,42054.0,16675.0
34785,21993.0,53.5,46995.0,21555.0
34786,34328.0,35.3,91884.0,47400.0
